id,nama,age,gender,harga_beli,kind_of_food,restaurant,friends,jumlah_klik_produk_tertentu,review,lokasi_resto
25,User25,61,Female,12.69,Dessert,Mi Gacoan,28,11,Very tasty and well-prepared.,Jakarta
26,User26,57,Female,25.51,Beverage,KFC,313,3,"Excellent taste, worth every penny!",Bandung
27,User27,61,Male,69.29,Beverage,Starbucks,354,8,"Great food, definitely coming back.",Bandung
28,User28,69,Female,44.12,Beverage,McDonald's,445,16,"Amazing flavors, highly recommend!",Surabaya
29,User29,55,Female,37.95,Beverage,Starbucks,306,6,The food was bland and tasteless.,Jakarta
30,User30,48,Male,43.29,Dessert,Mi Gacoan,406,19,"Terrible experience, food was awful.",Jogja
31,User31,36,Female,10.71,Dessert,Starbucks,472,12,"Terrible experience, food was awful.",Malang
32,User32,33,Male,50.89,Dessert,JCo,102,4,"Excellent taste, worth every penny!",Bandung
33,User33,69,Male,29.21,Healthy,Starbucks,315,15,The food was bland and tasteless.,Jogja
34,User34,63,Male,21.62,Dessert,KFC,326,18,"Not worth the price, very disappointing.",Jogja
35,User35,58,Male,51.45,Healthy,McDonald's,449,19,"Poor quality, not worth the money.",Jogja
36,User36,47,Female,51.17,Healthy,Starbucks,494,7,The food was delicious and fresh!,Jakarta
37,User37,22,Female,59.4,Dessert,Starbucks,92,2,"Amazing flavors, highly recommend!",Bandung
38,User38,66,Female,61.02,Dessert,KFC,22,2,"Great food, definitely coming back.",Bandung
39,User39,60,Male,85.12,Dessert,KFC,380,18,"Not worth the price, very disappointing.",Malang
40,User40,38,Male,96.0,Fast Food,KFC,401,10,"Great food, definitely coming back.",Jakarta
41,User41,34,Female,17.59,Healthy,Burger King,295,4,The food was delicious and fresh!,Bandung
42,User42,39,Female,41.46,Dessert,JCo,348,18,The food was bland and tasteless.,Jakarta
43,User43,20,Female,44.09,Fast Food,Mi Gacoan,88,18,Very tasty and well-prepared.,Malang
44,User44,38,Female,87.54,Dessert,JCo,243,17,"Terrible experience, food was awful.",Malang
45,User45,63,Male,60.65,Beverage,Starbucks,67,12,"Not worth the price, very disappointing.",Surabaya
46,User46,42,Male,27.52,Fast Food,JCo,454,2,"Poor quality, not worth the money.",Jogja
47,User47,61,Female,73.89,Fast Food,JCo,38,17,"Amazing flavors, highly recommend!",Jakarta
48,User48,38,Female,73.12,Beverage,Mi Gacoan,350,12,"Unimpressed with the taste, won't return.",Jakarta
49,User49,63,Female,57.46,Fast Food,JCo,358,4,"Great food, definitely coming back.",Surabaya
50,User50,33,Male,33.14,Beverage,Mi Gacoan,376,0,The food was delicious and fresh!,Malang
51,User51,51,Female,60.32,Fast Food,KFC,25,0,The food was delicious and fresh!,Surabaya
52,User52,42,Female,8.5,Beverage,Mi Gacoan,164,16,"Unimpressed with the taste, won't return.",Jakarta
53,User53,42,Male,75.21,Healthy,McDonald's,251,6,The food was delicious and fresh!,Jakarta
54,User54,58,Male,99.6,Fast Food,Starbucks,334,2,The food was bland and tasteless.,Bandung
55,User55,45,Female,41.37,Dessert,Burger King,355,15,"Poor quality, not worth the money.",Jogja
56,User56,21,Female,18.29,Dessert,Burger King,254,14,The food was bland and tasteless.,Bandung
57,User57,37,Female,16.83,Healthy,Mi Gacoan,70,5,The food was bland and tasteless.,Surabaya
58,User58,30,Female,37.9,Beverage,KFC,454,6,"Amazing flavors, highly recommend!",Malang
59,User59,68,Male,46.4,Beverage,McDonald's,210,19,Very tasty and well-prepared.,Bandung
60,User60,62,Female,83.16,Fast Food,JCo,489,7,"Amazing flavors, highly recommend!",Jogja
61,User61,28,Female,46.81,Beverage,KFC,23,3,"Amazing flavors, highly recommend!",Malang
62,User62,27,Male,66.54,Beverage,Starbucks,380,4,"Great food, definitely coming back.",Jakarta
63,User63,46,Female,14.54,Fast Food,KFC,129,15,"Unimpressed with the taste, won't return.",Jogja
64,User64,64,Female,29.44,Healthy,KFC,288,2,Very tasty and well-prepared.,Malang
65,User65,49,Female,35.57,Beverage,McDonald's,337,15,"Amazing flavors, highly recommend!",Surabaya
66,User66,41,Female,62.69,Healthy,KFC,198,3,"Poor quality, not worth the money.",Bandung
67,User67,31,Female,54.13,Healthy,JCo,471,7,"Great food, definitely coming back.",Jogja
68,User68,23,Male,11.17,Healthy,Burger King,166,14,Very tasty and well-prepared.,Malang
69,User69,63,Male,23.93,Fast Food,KFC,96,2,"Terrible experience, food was awful.",Malang
70,User70,58,Male,74.34,Healthy,McDonald's,303,14,"Great food, definitely coming back.",Jogja
71,User71,25,Male,56.44,Healthy,Burger King,361,16,Very tasty and well-prepared.,Jakarta
72,User72,59,Female,5.83,Healthy,McDonald's,291,13,The food was delicious and fresh!,Surabaya
73,User73,64,Female,67.55,Dessert,Starbucks,128,18,"Great food, definitely coming back.",Jakarta
74,User74,34,Male,80.85,Dessert,KFC,387,9,"Unimpressed with the taste, won't return.",Malang
75,User75,68,Female,55.38,Dessert,McDonald's,474,10,Very tasty and well-prepared.,Bandung
76,User76,57,Female,66.91,Beverage,Starbucks,246,19,"Amazing flavors, highly recommend!",Surabaya
77,User77,53,Male,29.05,Healthy,KFC,160,0,"Not worth the price, very disappointing.",Jogja
78,User78,60,Female,17.49,Fast Food,McDonald's,0,12,"Poor quality, not worth the money.",Jogja
79,User79,46,Male,20.45,Fast Food,KFC,364,0,"Great food, definitely coming back.",Malang
80,User80,35,Male,77.3,Beverage,JCo,137,1,The food was bland and tasteless.,Jakarta
81,User81,55,Male,89.87,Healthy,McDonald's,277,17,"Terrible experience, food was awful.",Jogja
82,User82,19,Female,93.02,Dessert,JCo,274,18,The food was delicious and fresh!,Surabaya
83,User83,35,Female,29.63,Dessert,Mi Gacoan,196,17,"Poor quality, not worth the money.",Malang
84,User84,48,Female,11.57,Dessert,Mi Gacoan,385,17,"Great food, definitely coming back.",Malang
85,User85,52,Female,57.83,Fast Food,Mi Gacoan,364,5,"Not worth the price, very disappointing.",Jogja
86,User86,21,Female,37.7,Dessert,KFC,6,1,"Not worth the price, very disappointing.",Jakarta
87,User87,51,Male,70.75,Dessert,JCo,241,4,"Amazing flavors, highly recommend!",Surabaya
88,User88,61,Male,68.67,Healthy,McDonald's,380,8,The food was delicious and fresh!,Jakarta
89,User89,43,Female,88.57,Fast Food,Starbucks,337,15,"Terrible experience, food was awful.",Bandung
90,User90,19,Male,38.58,Healthy,JCo,422,1,"Amazing flavors, highly recommend!",Jakarta
91,User91,52,Male,64.51,Fast Food,Starbucks,440,16,"Unimpressed with the taste, won't return.",Bandung
92,User92,67,Female,98.11,Fast Food,JCo,25,15,"Great food, definitely coming back.",Malang
93,User93,57,Male,72.8,Dessert,Mi Gacoan,55,0,"Poor quality, not worth the money.",Malang
94,User94,58,Female,99.31,Beverage,KFC,308,10,"Terrible experience, food was awful.",Jogja
95,User95,36,Male,7.2,Beverage,JCo,443,0,"Excellent taste, worth every penny!",Surabaya
96,User96,59,Male,48.75,Healthy,Starbucks,95,7,"Unimpressed with the taste, won't return.",Jogja
97,User97,39,Male,59.83,Fast Food,Burger King,453,1,"Excellent taste, worth every penny!",Jogja
98,User98,65,Female,49.02,Fast Food,Burger King,460,17,"Great food, definitely coming back.",Malang
99,User99,46,Female,71.22,Healthy,Starbucks,448,1,"Not worth the price, very disappointing.",Malang
100,User100,19,Female,81.6,Dessert,Starbucks,212,3,The food was bland and tasteless.,Surabaya
101,User101,59,Female,10.57,Fast Food,JCo,159,11,"Terrible experience, food was awful.",Surabaya
102,User102,56,Male,69.23,Beverage,Starbucks,238,18,"Amazing flavors, highly recommend!",Malang
103,User103,30,Female,94.97,Dessert,Burger King,201,13,"Amazing flavors, highly recommend!",Malang
104,User104,33,Male,40.91,Dessert,Mi Gacoan,142,12,Very tasty and well-prepared.,Jogja
105,User105,46,Female,6.22,Beverage,Starbucks,124,12,The food was delicious and fresh!,Jogja
106,User106,43,Female,95.59,Fast Food,JCo,262,19,"Amazing flavors, highly recommend!",Malang
107,User107,68,Female,50.19,Healthy,Mi Gacoan,180,0,"Terrible experience, food was awful.",Jogja
108,User108,40,Male,44.73,Dessert,KFC,308,2,"Not worth the price, very disappointing.",Surabaya
109,User109,45,Male,22.77,Dessert,McDonald's,435,4,The food was bland and tasteless.,Jogja
110,User110,31,Male,17.37,Beverage,KFC,412,3,Very tasty and well-prepared.,Bandung
111,User111,51,Male,80.41,Dessert,KFC,420,4,Very tasty and well-prepared.,Jakarta
112,User112,32,Male,29.79,Dessert,Burger King,187,11,"Amazing flavors, highly recommend!",Jakarta
113,User113,26,Female,15.67,Dessert,Starbucks,473,16,"Poor quality, not worth the money.",Jogja
114,User114,22,Female,10.36,Fast Food,Mi Gacoan,174,10,"Great food, definitely coming back.",Malang
115,User115,64,Female,32.15,Healthy,Burger King,390,13,"Unimpressed with the taste, won't return.",Jakarta
116,User116,39,Female,38.65,Healthy,Starbucks,387,0,"Amazing flavors, highly recommend!",Malang
117,User117,63,Male,47.88,Dessert,JCo,454,18,"Not worth the price, very disappointing.",Jogja
118,User118,46,Female,43.15,Fast Food,Starbucks,263,4,The food was delicious and fresh!,Jogja
119,User119,40,Male,62.65,Dessert,JCo,282,1,"Not worth the price, very disappointing.",Surabaya
120,User120,32,Female,80.41,Dessert,Starbucks,403,3,Very tasty and well-prepared.,Jakarta
121,User121,18,Male,48.12,Fast Food,KFC,411,2,"Poor quality, not worth the money.",Jakarta
122,User122,68,Female,58.54,Dessert,Burger King,455,18,"Poor quality, not worth the money.",Malang
123,User123,55,Male,86.18,Healthy,JCo,395,15,"Terrible experience, food was awful.",Malang
124,User124,68,Female,43.77,Beverage,McDonald's,242,19,"Amazing flavors, highly recommend!",Bandung
125,User125,27,Female,21.1,Fast Food,Mi Gacoan,187,1,"Great food, definitely coming back.",Bandung
126,User126,51,Male,85.25,Healthy,JCo,122,5,"Terrible experience, food was awful.",Malang
127,User127,58,Male,60.3,Beverage,KFC,26,15,"Great food, definitely coming back.",Jogja
128,User128,58,Male,81.39,Beverage,KFC,353,6,"Poor quality, not worth the money.",Surabaya
129,User129,69,Female,57.2,Fast Food,McDonald's,181,16,Very tasty and well-prepared.,Surabaya
130,User130,25,Female,36.63,Fast Food,KFC,254,14,"Unimpressed with the taste, won't return.",Malang
131,User131,44,Male,27.71,Dessert,Starbucks,405,17,The food was delicious and fresh!,Surabaya
132,User132,47,Male,36.08,Beverage,Starbucks,90,16,"Poor quality, not worth the money.",Jogja
133,User133,68,Female,36.1,Healthy,KFC,78,10,"Great food, definitely coming back.",Malang
134,User134,35,Male,66.4,Healthy,Mi Gacoan,32,19,"Terrible experience, food was awful.",Surabaya
135,User135,28,Male,86.57,Beverage,JCo,94,8,"Excellent taste, worth every penny!",Surabaya
136,User136,61,Male,44.93,Healthy,KFC,117,19,Very tasty and well-prepared.,Jakarta
137,User137,51,Male,35.75,Dessert,Burger King,83,7,Very tasty and well-prepared.,Jakarta
138,User138,19,Female,42.62,Fast Food,JCo,64,0,"Great food, definitely coming back.",Surabaya
139,User139,56,Female,60.04,Beverage,Mi Gacoan,427,6,"Unimpressed with the taste, won't return.",Jogja
140,User140,37,Female,14.45,Dessert,Burger King,397,11,The food was bland and tasteless.,Malang
141,User141,47,Female,72.3,Beverage,McDonald's,421,11,The food was delicious and fresh!,Jogja
142,User142,24,Female,12.07,Fast Food,KFC,409,16,Very tasty and well-prepared.,Surabaya
143,User143,23,Male,71.81,Dessert,JCo,448,7,"Terrible experience, food was awful.",Bandung
144,User144,22,Female,78.64,Healthy,Starbucks,405,15,"Not worth the price, very disappointing.",Bandung
145,User145,20,Female,87.01,Fast Food,JCo,165,0,Very tasty and well-prepared.,Jakarta
146,User146,58,Female,86.75,Dessert,KFC,189,10,"Terrible experience, food was awful.",Surabaya
147,User147,58,Female,66.39,Dessert,Starbucks,108,16,"Terrible experience, food was awful.",Malang
148,User148,34,Male,63.75,Fast Food,KFC,316,14,"Amazing flavors, highly recommend!",Bandung
149,User149,25,Male,34.64,Dessert,Mi Gacoan,9,16,The food was delicious and fresh!,Malang
150,User150,58,Male,41.05,Fast Food,McDonald's,303,4,"Amazing flavors, highly recommend!",Malang
151,User151,42,Male,9.99,Fast Food,JCo,148,4,"Great food, definitely coming back.",Surabaya
152,User152,41,Male,71.07,Dessert,McDonald's,186,1,"Great food, definitely coming back.",Bandung
153,User153,40,Female,53.31,Dessert,KFC,45,1,"Not worth the price, very disappointing.",Bandung
154,User154,59,Male,71.19,Healthy,McDonald's,37,10,"Poor quality, not worth the money.",Bandung
155,User155,24,Female,81.88,Dessert,JCo,193,18,"Terrible experience, food was awful.",Bandung
156,User156,32,Male,98.32,Healthy,Burger King,425,9,The food was bland and tasteless.,Jakarta
157,User157,69,Female,91.15,Dessert,KFC,324,9,"Terrible experience, food was awful.",Malang
158,User158,57,Female,55.16,Beverage,Mi Gacoan,391,16,"Poor quality, not worth the money.",Jakarta
159,User159,42,Female,97.67,Healthy,Burger King,233,1,The food was bland and tasteless.,Surabaya
160,User160,49,Male,34.74,Healthy,Starbucks,273,13,Very tasty and well-prepared.,Surabaya
161,User161,38,Male,26.19,Dessert,KFC,118,11,"Great food, definitely coming back.",Jogja
162,User162,36,Male,35.62,Beverage,Starbucks,281,14,"Unimpressed with the taste, won't return.",Jakarta
163,User163,53,Male,29.42,Fast Food,Mi Gacoan,39,5,Very tasty and well-prepared.,Malang
164,User164,50,Male,5.18,Healthy,KFC,498,16,"Unimpressed with the taste, won't return.",Jakarta
165,User165,38,Female,54.39,Healthy,Starbucks,327,8,"Poor quality, not worth the money.",Malang
166,User166,42,Female,62.55,Fast Food,KFC,293,11,"Poor quality, not worth the money.",Bandung
167,User167,50,Female,89.09,Dessert,JCo,398,3,"Excellent taste, worth every penny!",Jogja
168,User168,45,Male,68.75,Beverage,Mi Gacoan,430,3,"Terrible experience, food was awful.",Jogja
169,User169,62,Female,76.33,Dessert,KFC,357,17,"Terrible experience, food was awful.",Surabaya
170,User170,54,Female,34.13,Beverage,Mi Gacoan,122,18,The food was bland and tasteless.,Surabaya
171,User171,36,Male,6.01,Healthy,KFC,70,8,The food was bland and tasteless.,Bandung
172,User172,40,Female,42.41,Dessert,KFC,81,6,Very tasty and well-prepared.,Bandung
173,User173,52,Male,62.12,Beverage,Starbucks,241,10,"Poor quality, not worth the money.",Bandung
174,User174,49,Female,76.53,Beverage,Burger King,129,5,"Unimpressed with the taste, won't return.",Malang
175,User175,68,Male,5.74,Healthy,KFC,168,14,"Excellent taste, worth every penny!",Jakarta
176,User176,36,Female,58.6,Fast Food,Mi Gacoan,135,10,Very tasty and well-prepared.,Malang
177,User177,32,Female,32.52,Dessert,JCo,318,18,"Great food, definitely coming back.",Bandung
178,User178,25,Male,99.45,Healthy,Burger King,437,2,"Not worth the price, very disappointing.",Malang
179,User179,29,Female,49.32,Beverage,McDonald's,318,11,"Excellent taste, worth every penny!",Bandung
180,User180,28,Male,25.95,Beverage,McDonald's,333,16,"Terrible experience, food was awful.",Jakarta
181,User181,56,Female,24.32,Dessert,JCo,238,2,The food was bland and tasteless.,Surabaya
182,User182,59,Female,48.94,Dessert,McDonald's,483,3,"Excellent taste, worth every penny!",Surabaya
183,User183,40,Male,60.83,Fast Food,JCo,428,17,"Great food, definitely coming back.",Jakarta
184,User184,18,Female,38.0,Healthy,Starbucks,259,15,The food was delicious and fresh!,Bandung
185,User185,52,Female,70.4,Fast Food,Mi Gacoan,159,4,"Terrible experience, food was awful.",Jogja
186,User186,35,Male,59.1,Beverage,Mi Gacoan,180,9,The food was bland and tasteless.,Jogja
187,User187,60,Male,64.56,Healthy,Mi Gacoan,453,4,"Poor quality, not worth the money.",Jakarta
188,User188,24,Female,87.25,Dessert,Burger King,41,4,"Unimpressed with the taste, won't return.",Bandung
189,User189,21,Male,38.36,Healthy,McDonald's,272,12,"Poor quality, not worth the money.",Bandung
190,User190,58,Female,26.46,Dessert,Mi Gacoan,434,3,"Amazing flavors, highly recommend!",Jogja
191,User191,45,Male,36.99,Beverage,McDonald's,23,6,"Poor quality, not worth the money.",Bandung
192,User192,30,Male,31.15,Dessert,Starbucks,20,8,Very tasty and well-prepared.,Malang
193,User193,57,Female,32.97,Fast Food,Mi Gacoan,176,9,Very tasty and well-prepared.,Jogja
194,User194,39,Male,39.42,Dessert,Starbucks,359,16,"Terrible experience, food was awful.",Malang
195,User195,43,Male,83.85,Dessert,KFC,164,8,"Great food, definitely coming back.",Jogja
196,User196,18,Female,90.16,Healthy,Burger King,21,14,"Great food, definitely coming back.",Surabaya
197,User197,61,Male,68.58,Dessert,McDonald's,335,1,"Amazing flavors, highly recommend!",Jogja
198,User198,52,Female,91.61,Beverage,Mi Gacoan,413,9,The food was delicious and fresh!,Bandung
199,User199,19,Male,12.38,Healthy,JCo,120,4,"Terrible experience, food was awful.",Jakarta
200,User200,66,Female,27.28,Fast Food,JCo,48,1,"Poor quality, not worth the money.",Surabaya
201,User201,61,Female,72.55,Dessert,Mi Gacoan,355,4,"Excellent taste, worth every penny!",Malang
202,User202,55,Male,91.67,Healthy,Starbucks,436,8,"Great food, definitely coming back.",Malang
203,User203,64,Female,62.71,Dessert,JCo,0,14,"Terrible experience, food was awful.",Malang
204,User204,61,Female,66.76,Fast Food,Burger King,27,14,"Poor quality, not worth the money.",Surabaya
205,User205,43,Male,30.4,Dessert,Mi Gacoan,237,13,Very tasty and well-prepared.,Jogja
206,User206,41,Female,47.59,Fast Food,Mi Gacoan,287,11,"Excellent taste, worth every penny!",Surabaya
207,User207,60,Female,36.5,Dessert,Starbucks,204,1,"Not worth the price, very disappointing.",Surabaya
208,User208,69,Male,11.31,Beverage,KFC,51,8,"Not worth the price, very disappointing.",Jakarta
209,User209,22,Female,58.96,Beverage,Burger King,444,4,"Poor quality, not worth the money.",Surabaya
210,User210,25,Female,50.82,Beverage,McDonald's,320,11,The food was delicious and fresh!,Bandung
211,User211,47,Female,42.86,Beverage,Burger King,27,1,Very tasty and well-prepared.,Malang
212,User212,19,Female,81.86,Fast Food,McDonald's,277,3,"Amazing flavors, highly recommend!",Jakarta
213,User213,41,Male,95.79,Fast Food,McDonald's,280,4,Very tasty and well-prepared.,Jogja
214,User214,41,Male,71.78,Dessert,KFC,459,9,"Poor quality, not worth the money.",Jogja
215,User215,42,Female,10.97,Dessert,JCo,240,17,"Terrible experience, food was awful.",Jogja
216,User216,43,Female,11.39,Fast Food,Mi Gacoan,361,1,Very tasty and well-prepared.,Malang
217,User217,23,Female,6.63,Dessert,Mi Gacoan,451,0,"Amazing flavors, highly recommend!",Surabaya
218,User218,40,Female,33.97,Dessert,McDonald's,355,7,The food was bland and tasteless.,Jogja
219,User219,67,Male,40.1,Dessert,JCo,246,18,"Not worth the price, very disappointing.",Bandung
220,User220,34,Male,24.42,Beverage,Mi Gacoan,7,18,The food was delicious and fresh!,Surabaya
221,User221,49,Female,94.89,Healthy,Starbucks,109,10,"Not worth the price, very disappointing.",Malang
222,User222,66,Male,89.76,Beverage,Burger King,94,19,"Amazing flavors, highly recommend!",Bandung
223,User223,18,Male,96.52,Beverage,Starbucks,60,6,"Poor quality, not worth the money.",Jogja
224,User224,68,Female,71.07,Dessert,McDonald's,66,0,"Great food, definitely coming back.",Bandung
225,User225,21,Male,96.42,Beverage,Burger King,379,13,"Excellent taste, worth every penny!",Bandung
226,User226,51,Male,81.85,Beverage,Mi Gacoan,357,14,"Excellent taste, worth every penny!",Bandung
227,User227,49,Female,79.15,Fast Food,Starbucks,489,2,"Terrible experience, food was awful.",Jakarta
228,User228,24,Male,46.2,Healthy,JCo,463,18,"Terrible experience, food was awful.",Jakarta
229,User229,18,Female,63.01,Healthy,Burger King,187,8,Very tasty and well-prepared.,Bandung
230,User230,26,Male,68.54,Fast Food,Starbucks,225,16,"Great food, definitely coming back.",Bandung
231,User231,42,Female,41.95,Beverage,JCo,67,19,"Excellent taste, worth every penny!",Malang
232,User232,24,Male,41.77,Beverage,Mi Gacoan,331,17,"Amazing flavors, highly recommend!",Malang
233,User233,29,Female,58.69,Healthy,JCo,50,19,"Poor quality, not worth the money.",Jakarta
234,User234,22,Male,52.42,Beverage,KFC,470,6,Very tasty and well-prepared.,Jogja
235,User235,55,Female,41.31,Beverage,McDonald's,393,0,"Excellent taste, worth every penny!",Bandung
236,User236,25,Male,9.14,Dessert,McDonald's,181,16,"Poor quality, not worth the money.",Jogja
237,User237,43,Male,88.63,Healthy,Burger King,349,9,"Great food, definitely coming back.",Jogja
238,User238,69,Male,38.47,Beverage,JCo,27,9,"Not worth the price, very disappointing.",Jogja
239,User239,60,Female,16.52,Beverage,JCo,194,10,"Excellent taste, worth every penny!",Jogja
240,User240,23,Male,91.99,Beverage,Burger King,345,6,"Not worth the price, very disappointing.",Surabaya
241,User241,55,Male,71.66,Healthy,JCo,232,6,"Great food, definitely coming back.",Bandung
242,User242,22,Male,54.86,Healthy,McDonald's,474,18,The food was delicious and fresh!,Jogja
243,User243,60,Female,63.62,Dessert,Starbucks,166,14,"Excellent taste, worth every penny!",Malang
244,User244,30,Male,41.42,Beverage,Mi Gacoan,0,14,Very tasty and well-prepared.,Surabaya
245,User245,34,Female,76.83,Beverage,KFC,446,14,"Great food, definitely coming back.",Jogja
246,User246,23,Male,19.27,Healthy,KFC,86,2,"Terrible experience, food was awful.",Jakarta
247,User247,31,Female,64.12,Dessert,Burger King,139,1,"Not worth the price, very disappointing.",Malang
248,User248,29,Female,67.63,Dessert,JCo,224,6,"Poor quality, not worth the money.",Jogja
249,User249,40,Male,85.36,Beverage,Starbucks,346,16,The food was delicious and fresh!,Malang
250,User250,60,Female,76.18,Beverage,McDonald's,57,0,"Amazing flavors, highly recommend!",Jogja
251,User251,57,Male,47.15,Dessert,Burger King,201,0,"Amazing flavors, highly recommend!",Malang
252,User252,18,Male,94.16,Beverage,Burger King,449,10,The food was delicious and fresh!,Jogja
253,User253,42,Female,18.18,Beverage,Starbucks,499,4,"Unimpressed with the taste, won't return.",Jogja
254,User254,66,Male,86.6,Dessert,Starbucks,293,9,Very tasty and well-prepared.,Bandung
255,User255,45,Female,10.49,Healthy,Mi Gacoan,28,8,Very tasty and well-prepared.,Bandung
256,User256,48,Male,74.11,Dessert,McDonald's,415,1,"Terrible experience, food was awful.",Surabaya
257,User257,42,Female,50.22,Healthy,Burger King,390,3,"Not worth the price, very disappointing.",Jogja
258,User258,46,Female,69.08,Fast Food,Mi Gacoan,291,3,"Poor quality, not worth the money.",Surabaya
259,User259,42,Male,68.84,Healthy,McDonald's,93,5,"Not worth the price, very disappointing.",Surabaya
260,User260,48,Male,87.76,Fast Food,McDonald's,278,13,"Amazing flavors, highly recommend!",Malang
261,User261,64,Male,72.76,Dessert,KFC,237,15,"Excellent taste, worth every penny!",Malang
262,User262,50,Male,40.77,Fast Food,Starbucks,393,0,"Unimpressed with the taste, won't return.",Surabaya
263,User263,64,Male,74.04,Fast Food,Mi Gacoan,479,16,"Poor quality, not worth the money.",Malang
264,User264,53,Male,46.81,Healthy,KFC,345,17,"Amazing flavors, highly recommend!",Jakarta
265,User265,40,Male,38.51,Healthy,Starbucks,460,19,"Poor quality, not worth the money.",Bandung
266,User266,65,Female,58.45,Healthy,KFC,281,2,"Not worth the price, very disappointing.",Jakarta
267,User267,26,Female,97.49,Beverage,Mi Gacoan,261,1,Very tasty and well-prepared.,Malang
268,User268,21,Female,74.28,Dessert,KFC,186,3,"Amazing flavors, highly recommend!",Malang
269,User269,54,Male,49.99,Fast Food,KFC,344,15,"Amazing flavors, highly recommend!",Bandung
270,User270,32,Female,30.72,Healthy,Starbucks,368,19,"Great food, definitely coming back.",Malang
271,User271,54,Male,87.54,Healthy,Starbucks,319,15,"Amazing flavors, highly recommend!",Surabaya
272,User272,35,Male,88.37,Healthy,Mi Gacoan,141,8,"Poor quality, not worth the money.",Jogja
273,User273,37,Female,92.57,Fast Food,KFC,74,18,Very tasty and well-prepared.,Malang
274,User274,42,Male,90.06,Healthy,McDonald's,211,8,"Great food, definitely coming back.",Surabaya
275,User275,42,Male,80.12,Healthy,McDonald's,225,8,"Excellent taste, worth every penny!",Bandung
276,User276,53,Female,59.75,Beverage,Mi Gacoan,369,12,The food was delicious and fresh!,Jogja
277,User277,68,Male,84.36,Beverage,JCo,2,6,"Poor quality, not worth the money.",Malang
278,User278,19,Female,80.68,Healthy,JCo,294,6,The food was bland and tasteless.,Surabaya
279,User279,30,Male,85.58,Dessert,JCo,274,6,"Great food, definitely coming back.",Bandung
280,User280,38,Female,55.29,Dessert,KFC,209,16,"Unimpressed with the taste, won't return.",Jakarta
281,User281,25,Male,30.86,Fast Food,Mi Gacoan,68,15,The food was bland and tasteless.,Bandung
282,User282,40,Male,40.51,Beverage,Burger King,478,18,"Poor quality, not worth the money.",Bandung
283,User283,62,Male,85.02,Dessert,JCo,91,12,"Not worth the price, very disappointing.",Malang
284,User284,33,Male,86.85,Beverage,Mi Gacoan,289,10,"Unimpressed with the taste, won't return.",Jakarta
285,User285,50,Male,95.31,Healthy,Burger King,172,2,"Poor quality, not worth the money.",Malang
286,User286,51,Female,64.11,Dessert,Starbucks,177,17,"Excellent taste, worth every penny!",Bandung
287,User287,31,Female,66.11,Fast Food,Starbucks,330,3,"Amazing flavors, highly recommend!",Bandung
288,User288,19,Male,87.09,Dessert,KFC,233,5,Very tasty and well-prepared.,Surabaya
