id,nama,age,gender,harga_beli,kind_of_food,restaurant,delivery_time,friends,jumlah_klik_produk_tertentu,latitude,longitude,latitude_restaurant,longitude_restaurant,review
53,User53,42,Male,75.21,Healthy,McDonald's,26.27782384,251,6,-6.190953,106.890476,-6.191438909,106.8429918,The food was delicious and fresh!
54,User54,58,Male,99.6,Fast Food,Starbucks,50.90819659,334,2,-6.120658,106.757445,-6.184808705,106.8234289,The food was bland and tasteless.
55,User55,45,Female,41.37,Dessert,Burger King,42.50692764,355,15,-6.192592,106.772921,-6.194020442,106.8497223,"Poor quality, not worth the money."
56,User56,21,Female,18.29,Dessert,Burger King,34.27206642,254,14,-6.175257,106.790696,-6.194020442,106.8497223,The food was bland and tasteless.
57,User57,37,Female,16.83,Healthy,Mi Gacoan,24.3406853,70,5,-6.173031,106.849275,-6.17657643,106.8054332,The food was bland and tasteless.
58,User58,30,Female,37.9,Beverage,KFC,57.34881086,454,6,-6.108047,106.760771,-6.192915894,106.820339,"Amazing flavors, highly recommend!"
59,User59,68,Male,46.4,Beverage,McDonald's,46.12820175,210,19,-6.120156,106.799689,-6.191438909,106.8429918,Very tasty and well-prepared.
60,User60,62,Female,83.16,Fast Food,JCo,39.65867482,489,7,-6.147627,106.774682,-6.200214681,106.8234153,"Amazing flavors, highly recommend!"
61,User61,28,Female,46.81,Beverage,KFC,44.00749301,23,3,-6.176696,106.898195,-6.192915894,106.820339,"Amazing flavors, highly recommend!"
62,User62,27,Male,66.54,Beverage,Starbucks,44.98943225,380,4,-6.190083,106.7423,-6.184808705,106.8234289,"Great food, definitely coming back."
63,User63,46,Female,14.54,Fast Food,KFC,35.62053698,129,15,-6.131846,106.79985,-6.192915894,106.820339,"Unimpressed with the taste, won't return."
64,User64,64,Female,29.44,Healthy,KFC,44.5592958,288,2,-6.1338,106.765617,-6.192915894,106.820339,Very tasty and well-prepared.
65,User65,49,Female,35.57,Beverage,McDonald's,52.49360952,337,15,-6.120684,106.779748,-6.191438909,106.8429918,"Amazing flavors, highly recommend!"
66,User66,41,Female,62.69,Healthy,KFC,27.3769329,198,3,-6.146458,106.803233,-6.192915894,106.820339,"Poor quality, not worth the money."
67,User67,31,Female,54.13,Healthy,JCo,58.23959953,471,7,-6.11813,106.88936,-6.200214681,106.8234153,"Great food, definitely coming back."
68,User68,23,Male,11.17,Healthy,Burger King,13.3675028,166,14,-6.185755,106.872423,-6.194020442,106.8497223,Very tasty and well-prepared.
69,User69,63,Male,23.93,Fast Food,KFC,5.35381791,96,2,-6.196397,106.829367,-6.192915894,106.820339,"Terrible experience, food was awful."
70,User70,58,Male,74.34,Healthy,McDonald's,38.73939755,303,14,-6.148942,106.787337,-6.191438909,106.8429918,"Great food, definitely coming back."
71,User71,25,Male,56.44,Healthy,Burger King,22.83161244,361,16,-6.15858,106.870894,-6.194020442,106.8497223,Very tasty and well-prepared.
72,User72,59,Female,5.83,Healthy,McDonald's,36.66894323,291,13,-6.137478,106.88151,-6.191438909,106.8429918,The food was delicious and fresh!
73,User73,64,Female,67.55,Dessert,Starbucks,47.50219153,128,18,-6.103917,106.852333,-6.184808705,106.8234289,"Great food, definitely coming back."
74,User74,34,Male,80.85,Dessert,KFC,52.20586116,387,9,-6.113438,106.769416,-6.192915894,106.820339,"Unimpressed with the taste, won't return."
75,User75,68,Female,55.38,Dessert,McDonald's,22.68368646,474,10,-6.185989,106.88362,-6.191438909,106.8429918,Very tasty and well-prepared.
76,User76,57,Female,66.91,Beverage,Starbucks,39.28268721,246,19,-6.188095,106.89434,-6.184808705,106.8234289,"Amazing flavors, highly recommend!"
77,User77,53,Male,29.05,Healthy,KFC,8.160561755,160,0,-6.18751,106.834061,-6.192915894,106.820339,"Not worth the price, very disappointing."
78,User78,60,Female,17.49,Fast Food,McDonald's,39.15503191,0,12,-6.148103,106.787034,-6.191438909,106.8429918,"Poor quality, not worth the money."
79,User79,46,Male,20.45,Fast Food,KFC,56.68559511,364,0,-6.102179,106.772666,-6.192915894,106.820339,"Great food, definitely coming back."
80,User80,35,Male,77.3,Beverage,JCo,71.35027455,137,1,-6.151642,106.703965,-6.200214681,106.8234153,The food was bland and tasteless.
81,User81,55,Male,89.87,Healthy,McDonald's,25.32897234,277,17,-6.178553,106.886915,-6.191438909,106.8429918,"Terrible experience, food was awful."
82,User82,19,Female,93.02,Dessert,JCo,24.2340789,274,18,-6.170498,106.791226,-6.200214681,106.8234153,The food was delicious and fresh!
83,User83,35,Female,29.63,Dessert,Mi Gacoan,26.80462637,196,17,-6.148526,106.844937,-6.17657643,106.8054332,"Poor quality, not worth the money."
84,User84,48,Female,11.57,Dessert,Mi Gacoan,52.36208057,385,17,-6.101209,106.748147,-6.17657643,106.8054332,"Great food, definitely coming back."
85,User85,52,Female,57.83,Fast Food,Mi Gacoan,37.36839743,364,5,-6.110083,106.817503,-6.17657643,106.8054332,"Not worth the price, very disappointing."
86,User86,21,Female,37.7,Dessert,KFC,61.99674275,6,1,-6.134922,106.72446,-6.192915894,106.820339,"Not worth the price, very disappointing."
87,User87,51,Male,70.75,Dessert,JCo,50.68100812,241,4,-6.138631,106.891246,-6.200214681,106.8234153,"Amazing flavors, highly recommend!"
88,User88,61,Male,68.67,Healthy,McDonald's,33.16477151,380,8,-6.168602,106.787575,-6.191438909,106.8429918,The food was delicious and fresh!
89,User89,43,Female,88.57,Fast Food,Starbucks,56.33894681,337,15,-6.191282,106.721825,-6.184808705,106.8234289,"Terrible experience, food was awful."
90,User90,19,Male,38.58,Healthy,JCo,31.989315,422,1,-6.143267,106.833605,-6.200214681,106.8234153,"Amazing flavors, highly recommend!"
91,User91,52,Male,64.51,Fast Food,Starbucks,38.65257699,440,16,-6.115635,106.813357,-6.184808705,106.8234289,"Unimpressed with the taste, won't return."
92,User92,67,Female,98.11,Fast Food,JCo,35.66073638,25,15,-6.148945,106.862509,-6.200214681,106.8234153,"Great food, definitely coming back."
93,User93,57,Male,72.8,Dessert,Mi Gacoan,44.31918042,55,0,-6.154082,106.8823,-6.17657643,106.8054332,"Poor quality, not worth the money."
94,User94,58,Female,99.31,Beverage,KFC,56.70589548,308,10,-6.115446,106.753197,-6.192915894,106.820339,"Terrible experience, food was awful."
95,User95,36,Male,7.2,Beverage,JCo,40.32028711,443,0,-6.129865,106.80424,-6.200214681,106.8234153,"Excellent taste, worth every penny!"
96,User96,59,Male,48.75,Healthy,Starbucks,7.247342251,95,7,-6.182957,106.836394,-6.184808705,106.8234289,"Unimpressed with the taste, won't return."
97,User97,39,Male,59.83,Fast Food,Burger King,36.19381475,453,1,-6.142674,106.890287,-6.194020442,106.8497223,"Excellent taste, worth every penny!"
98,User98,65,Female,49.02,Fast Food,Burger King,45.9903572,460,17,-6.182656,106.767393,-6.194020442,106.8497223,"Great food, definitely coming back."
99,User99,46,Female,71.22,Healthy,Starbucks,64.36514487,448,1,-6.171397,106.707892,-6.184808705,106.8234289,"Not worth the price, very disappointing."
100,User100,19,Female,81.6,Dessert,Starbucks,10.06234061,212,3,-6.176995,106.807007,-6.184808705,106.8234289,The food was bland and tasteless.
101,User101,59,Female,10.57,Fast Food,JCo,29.76114743,159,11,-6.149624,106.841774,-6.200214681,106.8234153,"Terrible experience, food was awful."
102,User102,56,Male,69.23,Beverage,Starbucks,35.50855341,238,18,-6.143119,106.872234,-6.184808705,106.8234289,"Amazing flavors, highly recommend!"
103,User103,30,Female,94.97,Dessert,Burger King,27.27699783,201,13,-6.168744,106.807393,-6.194020442,106.8497223,"Amazing flavors, highly recommend!"
104,User104,33,Male,40.91,Dessert,Mi Gacoan,59.75434175,142,12,-6.102877,106.884401,-6.17657643,106.8054332,Very tasty and well-prepared.
105,User105,46,Female,6.22,Beverage,Starbucks,47.82912611,124,12,-6.124866,106.761119,-6.184808705,106.8234289,The food was delicious and fresh!
106,User106,43,Female,95.59,Fast Food,JCo,59.57209543,262,19,-6.107867,106.767971,-6.200214681,106.8234153,"Amazing flavors, highly recommend!"
107,User107,68,Female,50.19,Healthy,Mi Gacoan,26.93324059,180,0,-6.142774,106.840475,-6.17657643,106.8054332,"Terrible experience, food was awful."
108,User108,40,Male,44.73,Dessert,KFC,38.61138754,308,2,-6.170852,106.75414,-6.192915894,106.820339,"Not worth the price, very disappointing."
109,User109,45,Male,22.77,Dessert,McDonald's,42.0329345,435,4,-6.14626,106.781907,-6.191438909,106.8429918,The food was bland and tasteless.
110,User110,31,Male,17.37,Beverage,KFC,43.40529836,412,3,-6.137358,106.764928,-6.192915894,106.820339,Very tasty and well-prepared.
111,User111,51,Male,80.41,Dessert,KFC,54.20172425,420,4,-6.190407,106.722423,-6.192915894,106.820339,Very tasty and well-prepared.
112,User112,32,Male,29.79,Dessert,Burger King,36.29026552,187,11,-6.141888,106.889561,-6.194020442,106.8497223,"Amazing flavors, highly recommend!"
113,User113,26,Female,15.67,Dessert,Starbucks,68.87435272,473,16,-6.167203,106.700219,-6.184808705,106.8234289,"Poor quality, not worth the money."
114,User114,22,Female,10.36,Fast Food,Mi Gacoan,28.30074423,174,10,-6.161541,106.854317,-6.17657643,106.8054332,"Great food, definitely coming back."
115,User115,64,Female,32.15,Healthy,Burger King,59.92071994,390,13,-6.107643,106.784337,-6.194020442,106.8497223,"Unimpressed with the taste, won't return."
116,User116,39,Female,38.65,Healthy,Starbucks,25.29267132,387,0,-6.179607,106.868838,-6.184808705,106.8234289,"Amazing flavors, highly recommend!"
117,User117,63,Male,47.88,Dessert,JCo,45.24571875,454,18,-6.118491,106.827547,-6.200214681,106.8234153,"Not worth the price, very disappointing."
118,User118,46,Female,43.15,Fast Food,Starbucks,34.08232523,263,4,-6.123178,106.824434,-6.184808705,106.8234289,The food was delicious and fresh!
119,User119,40,Male,62.65,Dessert,JCo,12.67203451,282,1,-6.199621,106.800523,-6.200214681,106.8234153,"Not worth the price, very disappointing."
120,User120,32,Female,80.41,Dessert,Starbucks,22.18088957,403,3,-6.179777,106.783663,-6.184808705,106.8234289,Very tasty and well-prepared.
121,User121,18,Male,48.12,Fast Food,KFC,81.38386273,411,2,-6.107044,106.700904,-6.192915894,106.820339,"Poor quality, not worth the money."
122,User122,68,Female,58.54,Dessert,Burger King,9.628168923,455,18,-6.180632,106.860847,-6.194020442,106.8497223,"Poor quality, not worth the money."
123,User123,55,Male,86.18,Healthy,JCo,57.23277211,395,15,-6.131544,106.746033,-6.200214681,106.8234153,"Terrible experience, food was awful."
124,User124,68,Female,43.77,Beverage,McDonald's,56.04524355,242,19,-6.105618,106.789108,-6.191438909,106.8429918,"Amazing flavors, highly recommend!"
125,User125,27,Female,21.1,Fast Food,Mi Gacoan,57.06841691,187,1,-6.196579,106.704261,-6.17657643,106.8054332,"Great food, definitely coming back."
126,User126,51,Male,85.25,Healthy,JCo,64.46041793,122,5,-6.105795,106.891734,-6.200214681,106.8234153,"Terrible experience, food was awful."
127,User127,58,Male,60.3,Beverage,KFC,44.26152574,26,15,-6.129935,106.869705,-6.192915894,106.820339,"Great food, definitely coming back."
128,User128,58,Male,81.39,Beverage,KFC,29.26074111,353,6,-6.149971,106.851235,-6.192915894,106.820339,"Poor quality, not worth the money."
129,User129,69,Female,57.2,Fast Food,McDonald's,62.8849825,181,16,-6.108487,106.765256,-6.191438909,106.8429918,Very tasty and well-prepared.
130,User130,25,Female,36.63,Fast Food,KFC,34.50466488,254,14,-6.16149,106.874207,-6.192915894,106.820339,"Unimpressed with the taste, won't return."
131,User131,44,Male,27.71,Dessert,Starbucks,1.274627481,405,17,-6.185993,106.825405,-6.184808705,106.8234289,The food was delicious and fresh!
132,User132,47,Male,36.08,Beverage,Starbucks,61.39614832,90,16,-6.160358,106.715207,-6.184808705,106.8234289,"Poor quality, not worth the money."
133,User133,68,Female,36.1,Healthy,KFC,48.14236591,78,10,-6.106995,106.806271,-6.192915894,106.820339,"Great food, definitely coming back."
134,User134,35,Male,66.4,Healthy,Mi Gacoan,9.093220278,32,19,-6.191559,106.812208,-6.17657643,106.8054332,"Terrible experience, food was awful."
135,User135,28,Male,86.57,Beverage,JCo,28.8099953,94,8,-6.163344,106.78663,-6.200214681,106.8234153,"Excellent taste, worth every penny!"
136,User136,61,Male,44.93,Healthy,KFC,49.33170054,117,19,-6.154332,106.739962,-6.192915894,106.820339,Very tasty and well-prepared.
137,User137,51,Male,35.75,Dessert,Burger King,31.41647129,83,7,-6.1663,106.800166,-6.194020442,106.8497223,Very tasty and well-prepared.
138,User138,19,Female,42.62,Fast Food,JCo,60.03568677,64,0,-6.108663,106.765095,-6.200214681,106.8234153,"Great food, definitely coming back."
139,User139,56,Female,60.04,Beverage,Mi Gacoan,39.09476886,427,6,-6.108405,106.824171,-6.17657643,106.8054332,"Unimpressed with the taste, won't return."
140,User140,37,Female,14.45,Dessert,Burger King,52.75725285,397,11,-6.114862,106.796499,-6.194020442,106.8497223,The food was bland and tasteless.
141,User141,47,Female,72.3,Beverage,McDonald's,89.0778436,421,11,-6.105651,106.706752,-6.191438909,106.8429918,The food was delicious and fresh!
142,User142,24,Female,12.07,Fast Food,KFC,46.47714048,409,16,-6.126447,106.871746,-6.192915894,106.820339,Very tasty and well-prepared.
143,User143,23,Male,71.81,Dessert,JCo,54.38599106,448,7,-6.107161,106.855254,-6.200214681,106.8234153,"Terrible experience, food was awful."
144,User144,22,Female,78.64,Healthy,Starbucks,23.66802358,405,15,-6.194771,106.781833,-6.184808705,106.8234289,"Not worth the price, very disappointing."
145,User145,20,Female,87.01,Fast Food,JCo,49.22544634,165,0,-6.154666,106.899844,-6.200214681,106.8234153,Very tasty and well-prepared.
146,User146,58,Female,86.75,Dessert,KFC,16.31237095,189,10,-6.179769,106.79395,-6.192915894,106.820339,"Terrible experience, food was awful."
147,User147,58,Female,66.39,Dessert,Starbucks,45.5980291,108,16,-6.104953,106.802865,-6.184808705,106.8234289,"Terrible experience, food was awful."
148,User148,34,Male,63.75,Fast Food,KFC,65.97711218,316,14,-6.199728,106.701305,-6.192915894,106.820339,"Amazing flavors, highly recommend!"
149,User149,25,Male,34.64,Dessert,Mi Gacoan,39.08614369,9,16,-6.175786,106.734807,-6.17657643,106.8054332,The food was delicious and fresh!
150,User150,58,Male,41.05,Fast Food,McDonald's,44.47954242,303,4,-6.120925,106.881673,-6.191438909,106.8429918,"Amazing flavors, highly recommend!"
151,User151,42,Male,9.99,Fast Food,JCo,18.26083286,148,4,-6.169971,106.81016,-6.200214681,106.8234153,"Great food, definitely coming back."
152,User152,41,Male,71.07,Dessert,McDonald's,74.74328291,186,1,-6.186926,106.707999,-6.191438909,106.8429918,"Great food, definitely coming back."
153,User153,40,Female,53.31,Dessert,KFC,38.95673644,45,1,-6.16734,106.885934,-6.192915894,106.820339,"Not worth the price, very disappointing."
154,User154,59,Male,71.19,Healthy,McDonald's,72.98043702,37,10,-6.189894,106.711118,-6.191438909,106.8429918,"Poor quality, not worth the money."
155,User155,24,Female,81.88,Dessert,JCo,64.37844131,193,18,-6.125024,106.734595,-6.200214681,106.8234153,"Terrible experience, food was awful."
156,User156,32,Male,98.32,Healthy,Burger King,30.27168962,425,9,-6.156235,106.889307,-6.194020442,106.8497223,The food was bland and tasteless.
157,User157,69,Female,91.15,Dessert,KFC,30.8682452,324,9,-6.15556,106.778887,-6.192915894,106.820339,"Terrible experience, food was awful."
158,User158,57,Female,55.16,Beverage,Mi Gacoan,15.77837424,391,16,-6.148613,106.799752,-6.17657643,106.8054332,"Poor quality, not worth the money."
159,User159,42,Female,97.67,Healthy,Burger King,52.536737,233,1,-6.176411,106.756429,-6.194020442,106.8497223,The food was bland and tasteless.
160,User160,49,Male,34.74,Healthy,Starbucks,14.7926083,273,13,-6.158077,106.822366,-6.184808705,106.8234289,Very tasty and well-prepared.
161,User161,38,Male,26.19,Dessert,KFC,61.51192123,118,11,-6.108513,106.747932,-6.192915894,106.820339,"Great food, definitely coming back."
162,User162,36,Male,35.62,Beverage,Starbucks,45.12976085,281,14,-6.1121,106.860478,-6.184808705,106.8234289,"Unimpressed with the taste, won't return."
163,User163,53,Male,29.42,Fast Food,Mi Gacoan,6.809712395,39,5,-6.185347,106.814072,-6.17657643,106.8054332,Very tasty and well-prepared.
164,User164,50,Male,5.18,Healthy,KFC,38.69332475,498,16,-6.151834,106.876942,-6.192915894,106.820339,"Unimpressed with the taste, won't return."
165,User165,38,Female,54.39,Healthy,Starbucks,24.12747805,327,8,-6.143736,106.808708,-6.184808705,106.8234289,"Poor quality, not worth the money."
166,User166,42,Female,62.55,Fast Food,KFC,61.93995931,293,11,-6.113147,106.741759,-6.192915894,106.820339,"Poor quality, not worth the money."
167,User167,50,Female,89.09,Dessert,JCo,51.64213551,398,3,-6.11278,106.856221,-6.200214681,106.8234153,"Excellent taste, worth every penny!"
168,User168,45,Male,68.75,Beverage,Mi Gacoan,31.78418946,430,3,-6.137852,106.762988,-6.17657643,106.8054332,"Terrible experience, food was awful."
169,User169,62,Female,76.33,Dessert,KFC,58.89513389,357,17,-6.163021,106.71819,-6.192915894,106.820339,"Terrible experience, food was awful."
170,User170,54,Female,34.13,Beverage,Mi Gacoan,48.14278968,122,18,-6.162561,106.891294,-6.17657643,106.8054332,The food was bland and tasteless.
171,User171,36,Male,6.01,Healthy,KFC,51.43777593,70,8,-6.109264,106.779676,-6.192915894,106.820339,The food was bland and tasteless.
172,User172,40,Female,42.41,Dessert,KFC,36.88866887,81,6,-6.164511,106.880655,-6.192915894,106.820339,Very tasty and well-prepared.
173,User173,52,Male,62.12,Beverage,Starbucks,46.66072768,241,10,-6.100902,106.832415,-6.184808705,106.8234289,"Poor quality, not worth the money."
174,User174,49,Female,76.53,Beverage,Burger King,38.70255129,129,5,-6.198689,106.779938,-6.194020442,106.8497223,"Unimpressed with the taste, won't return."
175,User175,68,Male,5.74,Healthy,KFC,10.86279251,168,14,-6.181776,106.836508,-6.192915894,106.820339,"Excellent taste, worth every penny!"
176,User176,36,Female,58.6,Fast Food,Mi Gacoan,41.79835115,135,10,-6.157702,106.732295,-6.17657643,106.8054332,Very tasty and well-prepared.
177,User177,32,Female,32.52,Dessert,JCo,19.94813057,318,18,-6.1964,106.859262,-6.200214681,106.8234153,"Great food, definitely coming back."
178,User178,25,Male,99.45,Healthy,Burger King,20.33209857,437,2,-6.181928,106.815024,-6.194020442,106.8497223,"Not worth the price, very disappointing."
179,User179,29,Female,49.32,Beverage,McDonald's,57.00528243,318,11,-6.192413,106.739982,-6.191438909,106.8429918,"Excellent taste, worth every penny!"
180,User180,28,Male,25.95,Beverage,McDonald's,26.45793666,333,16,-6.169608,106.885537,-6.191438909,106.8429918,"Terrible experience, food was awful."
181,User181,56,Female,24.32,Dessert,JCo,35.73866698,238,2,-6.162173,106.771204,-6.200214681,106.8234153,The food was bland and tasteless.
182,User182,59,Female,48.94,Dessert,McDonald's,57.2755359,483,3,-6.146512,106.749735,-6.191438909,106.8429918,"Excellent taste, worth every penny!"
183,User183,40,Male,60.83,Fast Food,JCo,52.44818755,428,17,-6.133437,106.890724,-6.200214681,106.8234153,"Great food, definitely coming back."
184,User184,18,Female,38,Healthy,Starbucks,13.0095889,259,15,-6.17969,106.846375,-6.184808705,106.8234289,The food was delicious and fresh!
185,User185,52,Female,70.4,Fast Food,Mi Gacoan,43.47147324,159,4,-6.191993,106.728402,-6.17657643,106.8054332,"Terrible experience, food was awful."
186,User186,35,Male,59.1,Beverage,Mi Gacoan,26.56111943,180,9,-6.141784,106.838526,-6.17657643,106.8054332,The food was bland and tasteless.
187,User187,60,Male,64.56,Healthy,Mi Gacoan,50.54494564,453,4,-6.153508,106.717054,-6.17657643,106.8054332,"Poor quality, not worth the money."
188,User188,24,Female,87.25,Dessert,Burger King,83.96336092,41,4,-6.116369,106.71934,-6.194020442,106.8497223,"Unimpressed with the taste, won't return."
189,User189,21,Male,38.36,Healthy,McDonald's,40.20131678,272,12,-6.188275,106.770413,-6.191438909,106.8429918,"Poor quality, not worth the money."
190,User190,58,Female,26.46,Dessert,Mi Gacoan,57.56302152,434,3,-6.109741,106.88518,-6.17657643,106.8054332,"Amazing flavors, highly recommend!"
