id,nama,age,gender,location_user,location_pembelian,harga_beli,kind_of_food,restaurant,delivery_time,friends,jumlah_klik_produk_tertentu
29,User29,55,Female,Surabaya,Jakarta,37.95,Beverage,Popeyes,39,306,6
30,User30,48,Male,Bandung,Surabaya,43.29,Dessert,Chipotle,34,406,19
31,User31,36,Female,Bandung,Jakarta,10.71,Dessert,Panda Express,48,472,12
32,User32,33,Male,Surabaya,Jakarta,50.89,Dessert,Panera Bread,54,102,4
33,User33,69,Male,Bandung,Surabaya,29.21,Healthy,Little Caesars,29,315,15
34,User34,63,Male,Bandung,Bandung,21.62,Dessert,Taco Bell,23,326,18
35,User35,58,Male,Jakarta,Jakarta,51.45,Healthy,Starbucks,46,449,19
36,User36,47,Female,Surabaya,Surabaya,51.17,Healthy,Domino's Pizza,36,494,7
37,User37,22,Female,Bandung,Bandung,59.4,Dessert,Panera Bread,56,92,2
38,User38,66,Female,Jakarta,Surabaya,61.02,Dessert,Wendy's,16,22,2
39,User39,60,Male,Bandung,Jakarta,85.12,Dessert,Chipotle,35,380,18
40,User40,38,Male,Bandung,Bandung,96,Fast Food,Chipotle,15,401,10
41,User41,34,Female,Bandung,Surabaya,17.59,Healthy,Dunkin' Donuts,50,295,4
42,User42,39,Female,Surabaya,Surabaya,41.46,Dessert,Little Caesars,57,348,18
43,User43,20,Female,Jakarta,Jakarta,44.09,Fast Food,Sonic Drive-In,34,88,18
44,User44,38,Female,Jakarta,Jakarta,87.54,Dessert,Jack in the Box,48,243,17
45,User45,63,Male,Jakarta,Bandung,60.65,Beverage,McDonald's,32,67,12
46,User46,42,Male,Surabaya,Jakarta,27.52,Fast Food,Domino's Pizza,49,454,2
47,User47,61,Female,Bandung,Jakarta,73.89,Fast Food,Starbucks,18,38,17
48,User48,38,Female,Jakarta,Surabaya,73.12,Beverage,Little Caesars,46,350,12
49,User49,63,Female,Surabaya,Surabaya,57.46,Fast Food,McDonald's,57,358,4
50,User50,33,Male,Bandung,Surabaya,33.14,Beverage,Wendy's,15,376,0
51,User51,51,Female,Surabaya,Bandung,60.32,Fast Food,Pizza Hut,37,25,0
52,User52,42,Female,Jakarta,Bandung,8.5,Beverage,KFC,56,164,16
53,User53,42,Male,Bandung,Bandung,75.21,Healthy,Popeyes,30,251,6
54,User54,58,Male,Jakarta,Surabaya,99.6,Fast Food,Wendy's,47,334,2
55,User55,45,Female,Bandung,Jakarta,41.37,Dessert,Panera Bread,38,355,15
56,User56,21,Female,Bandung,Bandung,18.29,Dessert,McDonald's,59,254,14
57,User57,37,Female,Jakarta,Bandung,16.83,Healthy,Five Guys,44,70,5
58,User58,30,Female,Bandung,Surabaya,37.9,Beverage,Five Guys,52,454,6
59,User59,68,Male,Bandung,Jakarta,46.4,Beverage,McDonald's,45,210,19
60,User60,62,Female,Surabaya,Surabaya,83.16,Fast Food,Five Guys,17,489,7
61,User61,28,Female,Surabaya,Jakarta,46.81,Beverage,Domino's Pizza,40,23,3
62,User62,27,Male,Surabaya,Surabaya,66.54,Beverage,Panda Express,41,380,4
63,User63,46,Female,Surabaya,Jakarta,14.54,Fast Food,McDonald's,56,129,15
64,User64,64,Female,Bandung,Bandung,29.44,Healthy,Taco Bell,50,288,2
65,User65,49,Female,Surabaya,Bandung,35.57,Beverage,Subway,19,337,15
66,User66,41,Female,Jakarta,Jakarta,62.69,Healthy,Panera Bread,34,198,3
67,User67,31,Female,Bandung,Bandung,54.13,Healthy,Taco Bell,27,471,7
68,User68,23,Male,Surabaya,Jakarta,11.17,Healthy,Subway,57,166,14
69,User69,63,Male,Bandung,Jakarta,23.93,Fast Food,Burger King,44,96,2
70,User70,58,Male,Bandung,Surabaya,74.34,Healthy,McDonald's,37,303,14
71,User71,25,Male,Jakarta,Surabaya,56.44,Healthy,Domino's Pizza,36,361,16
72,User72,59,Female,Surabaya,Jakarta,5.83,Healthy,Taco Bell,54,291,13
73,User73,64,Female,Surabaya,Surabaya,67.55,Dessert,Dunkin' Donuts,52,128,18
74,User74,34,Male,Jakarta,Jakarta,80.85,Dessert,Panera Bread,44,387,9
75,User75,68,Female,Bandung,Surabaya,55.38,Dessert,Chick-fil-A,35,474,10
76,User76,57,Female,Surabaya,Bandung,66.91,Beverage,Domino's Pizza,20,246,19
77,User77,53,Male,Surabaya,Bandung,29.05,Healthy,Popeyes,44,160,0
78,User78,60,Female,Surabaya,Surabaya,17.49,Fast Food,Sonic Drive-In,17,0,12
79,User79,46,Male,Jakarta,Jakarta,20.45,Fast Food,Jack in the Box,31,364,0
80,User80,35,Male,Jakarta,Jakarta,77.3,Beverage,Pizza Hut,49,137,1
81,User81,55,Male,Jakarta,Surabaya,89.87,Healthy,Little Caesars,54,277,17
82,User82,19,Female,Jakarta,Bandung,93.02,Dessert,Dunkin' Donuts,55,274,18
83,User83,35,Female,Surabaya,Surabaya,29.63,Dessert,Panera Bread,43,196,17
84,User84,48,Female,Surabaya,Surabaya,11.57,Dessert,Panera Bread,24,385,17
85,User85,52,Female,Bandung,Bandung,57.83,Fast Food,Dunkin' Donuts,25,364,5
86,User86,21,Female,Bandung,Bandung,37.7,Dessert,Chick-fil-A,57,6,1
87,User87,51,Male,Surabaya,Bandung,70.75,Dessert,Arby's,44,241,4
88,User88,61,Male,Jakarta,Jakarta,68.67,Healthy,Little Caesars,26,380,8
89,User89,43,Female,Jakarta,Bandung,88.57,Fast Food,Arby's,28,337,15
90,User90,19,Male,Jakarta,Bandung,38.58,Healthy,Burger King,59,422,1
91,User91,52,Male,Surabaya,Surabaya,64.51,Fast Food,Popeyes,23,440,16
92,User92,67,Female,Surabaya,Bandung,98.11,Fast Food,Popeyes,29,25,15
93,User93,57,Male,Bandung,Surabaya,72.8,Dessert,Five Guys,58,55,0
94,User94,58,Female,Jakarta,Jakarta,99.31,Beverage,Panera Bread,42,308,10
95,User95,36,Male,Surabaya,Surabaya,7.2,Beverage,Jack in the Box,21,443,0
96,User96,59,Male,Jakarta,Bandung,48.75,Healthy,Panera Bread,15,95,7
97,User97,39,Male,Surabaya,Surabaya,59.83,Fast Food,McDonald's,57,453,1
98,User98,65,Female,Jakarta,Bandung,49.02,Fast Food,Burger King,33,460,17
99,User99,46,Female,Bandung,Jakarta,71.22,Healthy,Little Caesars,47,448,1
100,User100,19,Female,Surabaya,Bandung,81.6,Dessert,Domino's Pizza,29,212,3
101,User101,59,Female,Surabaya,Surabaya,10.57,Fast Food,Arby's,18,159,11
102,User102,56,Male,Bandung,Surabaya,69.23,Beverage,Sonic Drive-In,46,238,18
103,User103,30,Female,Jakarta,Surabaya,94.97,Dessert,Pizza Hut,42,201,13
104,User104,33,Male,Jakarta,Jakarta,40.91,Dessert,McDonald's,33,142,12
105,User105,46,Female,Surabaya,Jakarta,6.22,Beverage,Starbucks,34,124,12
106,User106,43,Female,Jakarta,Jakarta,95.59,Fast Food,Burger King,29,262,19
107,User107,68,Female,Surabaya,Jakarta,50.19,Healthy,Jack in the Box,29,180,0
108,User108,40,Male,Jakarta,Bandung,44.73,Dessert,KFC,25,308,2
109,User109,45,Male,Bandung,Bandung,22.77,Dessert,Dunkin' Donuts,35,435,4
110,User110,31,Male,Surabaya,Jakarta,17.37,Beverage,Subway,16,412,3
111,User111,51,Male,Surabaya,Jakarta,80.41,Dessert,Taco Bell,49,420,4
112,User112,32,Male,Surabaya,Bandung,29.79,Dessert,Dunkin' Donuts,50,187,11
113,User113,26,Female,Bandung,Jakarta,15.67,Dessert,Burger King,16,473,16
114,User114,22,Female,Jakarta,Bandung,10.36,Fast Food,Sonic Drive-In,21,174,10
115,User115,64,Female,Bandung,Jakarta,32.15,Healthy,Jack in the Box,16,390,13
116,User116,39,Female,Surabaya,Jakarta,38.65,Healthy,Dunkin' Donuts,40,387,0
117,User117,63,Male,Bandung,Bandung,47.88,Dessert,Taco Bell,16,454,18
118,User118,46,Female,Jakarta,Bandung,43.15,Fast Food,Subway,58,263,4
119,User119,40,Male,Bandung,Jakarta,62.65,Dessert,Jack in the Box,53,282,1
120,User120,32,Female,Surabaya,Bandung,80.41,Dessert,Starbucks,51,403,3
121,User121,18,Male,Bandung,Surabaya,48.12,Fast Food,KFC,54,411,2
122,User122,68,Female,Jakarta,Bandung,58.54,Dessert,Sonic Drive-In,44,455,18
123,User123,55,Male,Jakarta,Jakarta,86.18,Healthy,Jack in the Box,46,395,15
124,User124,68,Female,Surabaya,Jakarta,43.77,Beverage,KFC,20,242,19
125,User125,27,Female,Bandung,Bandung,21.1,Fast Food,Five Guys,38,187,1
126,User126,51,Male,Bandung,Surabaya,85.25,Healthy,Taco Bell,23,122,5
127,User127,58,Male,Surabaya,Bandung,60.3,Beverage,Little Caesars,19,26,15
128,User128,58,Male,Jakarta,Jakarta,81.39,Beverage,McDonald's,59,353,6
129,User129,69,Female,Bandung,Bandung,57.2,Fast Food,McDonald's,25,181,16
130,User130,25,Female,Bandung,Jakarta,36.63,Fast Food,Popeyes,53,254,14
131,User131,44,Male,Surabaya,Surabaya,27.71,Dessert,KFC,35,405,17
132,User132,47,Male,Bandung,Jakarta,36.08,Beverage,Pizza Hut,49,90,16
133,User133,68,Female,Jakarta,Surabaya,36.1,Healthy,Five Guys,58,78,10
134,User134,35,Male,Bandung,Jakarta,66.4,Healthy,Arby's,50,32,19
135,User135,28,Male,Surabaya,Bandung,86.57,Beverage,Popeyes,35,94,8
136,User136,61,Male,Surabaya,Bandung,44.93,Healthy,Dunkin' Donuts,44,117,19
137,User137,51,Male,Surabaya,Bandung,35.75,Dessert,Domino's Pizza,53,83,7
138,User138,19,Female,Bandung,Jakarta,42.62,Fast Food,Little Caesars,30,64,0
139,User139,56,Female,Bandung,Surabaya,60.04,Beverage,Pizza Hut,44,427,6
140,User140,37,Female,Surabaya,Jakarta,14.45,Dessert,Wendy's,31,397,11
141,User141,47,Female,Jakarta,Jakarta,72.3,Beverage,Panda Express,49,421,11
142,User142,24,Female,Surabaya,Bandung,12.07,Fast Food,Dunkin' Donuts,36,409,16
143,User143,23,Male,Surabaya,Bandung,71.81,Dessert,Taco Bell,18,448,7
144,User144,22,Female,Surabaya,Jakarta,78.64,Healthy,Panera Bread,55,405,15
145,User145,20,Female,Surabaya,Surabaya,87.01,Fast Food,Burger King,35,165,0
146,User146,58,Female,Bandung,Jakarta,86.75,Dessert,Domino's Pizza,38,189,10
147,User147,58,Female,Surabaya,Jakarta,66.39,Dessert,Starbucks,48,108,16
148,User148,34,Male,Bandung,Bandung,63.75,Fast Food,Subway,31,316,14
149,User149,25,Male,Jakarta,Bandung,34.64,Dessert,Sonic Drive-In,57,9,16
150,User150,58,Male,Jakarta,Surabaya,41.05,Fast Food,Wendy's,15,303,4
151,User151,42,Male,Jakarta,Jakarta,9.99,Fast Food,Wendy's,53,148,4
152,User152,41,Male,Surabaya,Bandung,71.07,Dessert,Domino's Pizza,23,186,1
153,User153,40,Female,Surabaya,Surabaya,53.31,Dessert,Panda Express,42,45,1
154,User154,59,Male,Surabaya,Surabaya,71.19,Healthy,Dunkin' Donuts,29,37,10
155,User155,24,Female,Surabaya,Surabaya,81.88,Dessert,Taco Bell,35,193,18
156,User156,32,Male,Bandung,Surabaya,98.32,Healthy,Sonic Drive-In,35,425,9
157,User157,69,Female,Surabaya,Jakarta,91.15,Dessert,Subway,50,324,9
158,User158,57,Female,Bandung,Jakarta,55.16,Beverage,Chipotle,36,391,16
159,User159,42,Female,Bandung,Bandung,97.67,Healthy,Pizza Hut,37,233,1
160,User160,49,Male,Bandung,Bandung,34.74,Healthy,Panera Bread,24,273,13
161,User161,38,Male,Jakarta,Bandung,26.19,Dessert,Little Caesars,55,118,11
162,User162,36,Male,Surabaya,Surabaya,35.62,Beverage,Wendy's,26,281,14
163,User163,53,Male,Jakarta,Jakarta,29.42,Fast Food,Sonic Drive-In,39,39,5
164,User164,50,Male,Jakarta,Jakarta,5.18,Healthy,Dunkin' Donuts,40,498,16
165,User165,38,Female,Bandung,Surabaya,54.39,Healthy,Panera Bread,30,327,8
166,User166,42,Female,Jakarta,Bandung,62.55,Fast Food,Starbucks,55,293,11
167,User167,50,Female,Surabaya,Bandung,89.09,Dessert,Burger King,15,398,3
168,User168,45,Male,Surabaya,Bandung,68.75,Beverage,Panera Bread,53,430,3
169,User169,62,Female,Bandung,Jakarta,76.33,Dessert,Chick-fil-A,47,357,17
170,User170,54,Female,Jakarta,Surabaya,34.13,Beverage,Domino's Pizza,29,122,18
171,User171,36,Male,Jakarta,Bandung,6.01,Healthy,Popeyes,47,70,8
172,User172,40,Female,Surabaya,Jakarta,42.41,Dessert,Arby's,40,81,6
173,User173,52,Male,Jakarta,Bandung,62.12,Beverage,Five Guys,40,241,10
174,User174,49,Female,Bandung,Jakarta,76.53,Beverage,Pizza Hut,31,129,5
175,User175,68,Male,Surabaya,Jakarta,5.74,Healthy,Little Caesars,33,168,14
176,User176,36,Female,Bandung,Surabaya,58.6,Fast Food,Chick-fil-A,52,135,10
177,User177,32,Female,Bandung,Surabaya,32.52,Dessert,Five Guys,41,318,18
178,User178,25,Male,Bandung,Bandung,99.45,Healthy,Burger King,26,437,2
179,User179,29,Female,Bandung,Jakarta,49.32,Beverage,Jack in the Box,23,318,11
180,User180,28,Male,Bandung,Jakarta,25.95,Beverage,Pizza Hut,18,333,16
181,User181,56,Female,Surabaya,Bandung,24.32,Dessert,Arby's,58,238,2
182,User182,59,Female,Bandung,Surabaya,48.94,Dessert,Chick-fil-A,40,483,3
183,User183,40,Male,Bandung,Bandung,60.83,Fast Food,Popeyes,33,428,17
184,User184,18,Female,Surabaya,Surabaya,38,Healthy,Little Caesars,18,259,15
185,User185,52,Female,Jakarta,Bandung,70.4,Fast Food,KFC,32,159,4
186,User186,35,Male,Surabaya,Jakarta,59.1,Beverage,Taco Bell,29,180,9
187,User187,60,Male,Bandung,Jakarta,64.56,Healthy,Starbucks,18,453,4
188,User188,24,Female,Bandung,Surabaya,87.25,Dessert,Chipotle,24,41,4
189,User189,21,Male,Bandung,Jakarta,38.36,Healthy,McDonald's,35,272,12
190,User190,58,Female,Bandung,Bandung,26.46,Dessert,Domino's Pizza,43,434,3
191,User191,45,Male,Jakarta,Surabaya,36.99,Beverage,Jack in the Box,17,23,6
192,User192,30,Male,Surabaya,Bandung,31.15,Dessert,Dunkin' Donuts,45,20,8
193,User193,57,Female,Jakarta,Bandung,32.97,Fast Food,Domino's Pizza,36,176,9
194,User194,39,Male,Bandung,Bandung,39.42,Dessert,KFC,58,359,16
195,User195,43,Male,Bandung,Bandung,83.85,Dessert,Arby's,46,164,8
196,User196,18,Female,Surabaya,Jakarta,90.16,Healthy,McDonald's,19,21,14
197,User197,61,Male,Surabaya,Surabaya,68.58,Dessert,Arby's,39,335,1
198,User198,52,Female,Bandung,Surabaya,91.61,Beverage,Taco Bell,33,413,9
199,User199,19,Male,Surabaya,Bandung,12.38,Healthy,Popeyes,35,120,4
200,User200,66,Female,Jakarta,Jakarta,27.28,Fast Food,Pizza Hut,17,48,1
201,User201,61,Female,Jakarta,Bandung,72.55,Dessert,Chipotle,27,355,4
202,User202,55,Male,Bandung,Surabaya,91.67,Healthy,Panda Express,58,436,8
203,User203,64,Female,Surabaya,Jakarta,62.71,Dessert,Subway,45,0,14
204,User204,61,Female,Bandung,Bandung,66.76,Fast Food,Popeyes,54,27,14
205,User205,43,Male,Surabaya,Bandung,30.4,Dessert,Starbucks,48,237,13
206,User206,41,Female,Jakarta,Jakarta,47.59,Fast Food,Starbucks,37,287,11
207,User207,60,Female,Surabaya,Jakarta,36.5,Dessert,Domino's Pizza,18,204,1
208,User208,69,Male,Jakarta,Surabaya,11.31,Beverage,Burger King,56,51,8
209,User209,22,Female,Bandung,Surabaya,58.96,Beverage,McDonald's,26,444,4
210,User210,25,Female,Surabaya,Bandung,50.82,Beverage,Popeyes,30,320,11
211,User211,47,Female,Bandung,Bandung,42.86,Beverage,Dunkin' Donuts,37,27,1
212,User212,19,Female,Bandung,Surabaya,81.86,Fast Food,Panda Express,37,277,3
213,User213,41,Male,Bandung,Surabaya,95.79,Fast Food,Five Guys,49,280,4
214,User214,41,Male,Surabaya,Bandung,71.78,Dessert,Little Caesars,42,459,9
215,User215,42,Female,Bandung,Surabaya,10.97,Dessert,Starbucks,41,240,17
216,User216,43,Female,Surabaya,Bandung,11.39,Fast Food,Arby's,59,361,1
217,User217,23,Female,Jakarta,Jakarta,6.63,Dessert,Sonic Drive-In,34,451,0
218,User218,40,Female,Surabaya,Surabaya,33.97,Dessert,Panda Express,25,355,7
219,User219,67,Male,Bandung,Surabaya,40.1,Dessert,Arby's,47,246,18
220,User220,34,Male,Jakarta,Bandung,24.42,Beverage,Domino's Pizza,55,7,18
221,User221,49,Female,Jakarta,Jakarta,94.89,Healthy,McDonald's,43,109,10
222,User222,66,Male,Bandung,Bandung,89.76,Beverage,Chick-fil-A,48,94,19
223,User223,18,Male,Jakarta,Surabaya,96.52,Beverage,Sonic Drive-In,49,60,6
224,User224,68,Female,Surabaya,Jakarta,71.07,Dessert,Pizza Hut,56,66,0
225,User225,21,Male,Surabaya,Bandung,96.42,Beverage,Dunkin' Donuts,50,379,13
226,User226,51,Male,Surabaya,Bandung,81.85,Beverage,Five Guys,59,357,14
227,User227,49,Female,Bandung,Surabaya,79.15,Fast Food,Wendy's,17,489,2
228,User228,24,Male,Bandung,Surabaya,46.2,Healthy,Panera Bread,31,463,18
229,User229,18,Female,Surabaya,Surabaya,63.01,Healthy,Starbucks,26,187,8
230,User230,26,Male,Jakarta,Surabaya,68.54,Fast Food,Sonic Drive-In,15,225,16
231,User231,42,Female,Surabaya,Surabaya,41.95,Beverage,Panda Express,45,67,19
232,User232,24,Male,Surabaya,Jakarta,41.77,Beverage,Five Guys,32,331,17
233,User233,29,Female,Bandung,Surabaya,58.69,Healthy,Sonic Drive-In,26,50,19
234,User234,22,Male,Jakarta,Bandung,52.42,Beverage,Burger King,36,470,6
235,User235,55,Female,Jakarta,Jakarta,41.31,Beverage,Subway,20,393,0
236,User236,25,Male,Jakarta,Bandung,9.14,Dessert,Chick-fil-A,33,181,16
237,User237,43,Male,Surabaya,Surabaya,88.63,Healthy,Subway,56,349,9
238,User238,69,Male,Surabaya,Surabaya,38.47,Beverage,Burger King,56,27,9
239,User239,60,Female,Jakarta,Bandung,16.52,Beverage,KFC,25,194,10
240,User240,23,Male,Jakarta,Jakarta,91.99,Beverage,Dunkin' Donuts,29,345,6
241,User241,55,Male,Jakarta,Jakarta,71.66,Healthy,Popeyes,44,232,6
242,User242,22,Male,Jakarta,Surabaya,54.86,Healthy,Arby's,43,474,18
243,User243,60,Female,Jakarta,Surabaya,63.62,Dessert,Subway,48,166,14
244,User244,30,Male,Bandung,Bandung,41.42,Beverage,Arby's,30,0,14
245,User245,34,Female,Bandung,Jakarta,76.83,Beverage,Chick-fil-A,26,446,14
246,User246,23,Male,Bandung,Jakarta,19.27,Healthy,Five Guys,23,86,2
247,User247,31,Female,Surabaya,Bandung,64.12,Dessert,Subway,33,139,1
248,User248,29,Female,Bandung,Jakarta,67.63,Dessert,McDonald's,28,224,6
249,User249,40,Male,Jakarta,Surabaya,85.36,Beverage,Wendy's,37,346,16
250,User250,60,Female,Surabaya,Jakarta,76.18,Beverage,Dunkin' Donuts,48,57,0
251,User251,57,Male,Bandung,Bandung,47.15,Dessert,Panera Bread,53,201,0
252,User252,18,Male,Surabaya,Bandung,94.16,Beverage,Subway,41,449,10
253,User253,42,Female,Jakarta,Surabaya,18.18,Beverage,Panera Bread,47,499,4
254,User254,66,Male,Jakarta,Surabaya,86.6,Dessert,Pizza Hut,35,293,9
255,User255,45,Female,Bandung,Bandung,10.49,Healthy,Starbucks,21,28,8
256,User256,48,Male,Surabaya,Jakarta,74.11,Dessert,Panda Express,51,415,1
257,User257,42,Female,Bandung,Surabaya,50.22,Healthy,Popeyes,35,390,3
258,User258,46,Female,Jakarta,Surabaya,69.08,Fast Food,McDonald's,25,291,3
259,User259,42,Male,Jakarta,Jakarta,68.84,Healthy,McDonald's,25,93,5
260,User260,48,Male,Bandung,Jakarta,87.76,Fast Food,Sonic Drive-In,48,278,13
261,User261,64,Male,Jakarta,Jakarta,72.76,Dessert,Chick-fil-A,41,237,15
262,User262,50,Male,Jakarta,Bandung,40.77,Fast Food,Taco Bell,22,393,0
263,User263,64,Male,Bandung,Surabaya,74.04,Fast Food,Little Caesars,24,479,16
264,User264,53,Male,Surabaya,Jakarta,46.81,Healthy,Little Caesars,28,345,17
265,User265,40,Male,Jakarta,Surabaya,38.51,Healthy,Wendy's,49,460,19
266,User266,65,Female,Jakarta,Surabaya,58.45,Healthy,Sonic Drive-In,18,281,2
267,User267,26,Female,Bandung,Bandung,97.49,Beverage,Wendy's,21,261,1
268,User268,21,Female,Surabaya,Surabaya,74.28,Dessert,Domino's Pizza,42,186,3
269,User269,54,Male,Surabaya,Jakarta,49.99,Fast Food,Pizza Hut,39,344,15
270,User270,32,Female,Bandung,Bandung,30.72,Healthy,Five Guys,39,368,19
271,User271,54,Male,Surabaya,Bandung,87.54,Healthy,Arby's,18,319,15
272,User272,35,Male,Surabaya,Bandung,88.37,Healthy,Dunkin' Donuts,32,141,8
273,User273,37,Female,Bandung,Surabaya,92.57,Fast Food,Burger King,27,74,18
274,User274,42,Male,Jakarta,Jakarta,90.06,Healthy,Pizza Hut,31,211,8
275,User275,42,Male,Surabaya,Jakarta,80.12,Healthy,Jack in the Box,58,225,8
276,User276,53,Female,Bandung,Jakarta,59.75,Beverage,Five Guys,25,369,12
277,User277,68,Male,Surabaya,Surabaya,84.36,Beverage,Chick-fil-A,23,2,6
278,User278,19,Female,Jakarta,Surabaya,80.68,Healthy,Little Caesars,23,294,6
279,User279,30,Male,Bandung,Surabaya,85.58,Dessert,Domino's Pizza,41,274,6
280,User280,38,Female,Surabaya,Surabaya,55.29,Dessert,Five Guys,34,209,16
281,User281,25,Male,Jakarta,Surabaya,30.86,Fast Food,Domino's Pizza,25,68,15
282,User282,40,Male,Surabaya,Surabaya,40.51,Beverage,Arby's,46,478,18
283,User283,62,Male,Bandung,Bandung,85.02,Dessert,Wendy's,48,91,12
284,User284,33,Male,Surabaya,Bandung,86.85,Beverage,Popeyes,27,289,10
285,User285,50,Male,Surabaya,Bandung,95.31,Healthy,Popeyes,44,172,2
286,User286,51,Female,Bandung,Bandung,64.11,Dessert,Popeyes,34,177,17
287,User287,31,Female,Jakarta,Bandung,66.11,Fast Food,Chick-fil-A,17,330,3
288,User288,19,Male,Jakarta,Surabaya,87.09,Dessert,Sonic Drive-In,54,233,5
289,User289,21,Female,Jakarta,Jakarta,26.48,Fast Food,Chipotle,51,348,17
290,User290,57,Female,Surabaya,Jakarta,34.93,Fast Food,Taco Bell,38,372,3
291,User291,54,Female,Bandung,Jakarta,91.19,Dessert,McDonald's,25,227,18
292,User292,56,Male,Surabaya,Surabaya,35.02,Dessert,Panera Bread,56,300,13
293,User293,45,Female,Surabaya,Jakarta,10.5,Fast Food,Panera Bread,55,415,1
294,User294,52,Male,Jakarta,Jakarta,96.64,Healthy,Chick-fil-A,54,415,18
295,User295,63,Male,Bandung,Surabaya,25.05,Beverage,Panera Bread,39,164,13
296,User296,56,Female,Bandung,Jakarta,28.87,Healthy,KFC,16,34,7
297,User297,65,Female,Surabaya,Bandung,89.75,Dessert,Burger King,42,337,14
298,User298,43,Male,Bandung,Jakarta,56.31,Healthy,Wendy's,50,426,13
299,User299,34,Female,Jakarta,Bandung,22.46,Fast Food,Little Caesars,33,163,11
300,User300,66,Female,Jakarta,Surabaya,10.09,Dessert,Domino's Pizza,54,410,18
301,User301,68,Male,Bandung,Jakarta,35.32,Fast Food,Popeyes,28,376,15
302,User302,27,Female,Bandung,Surabaya,62.52,Healthy,Panda Express,20,409,18
303,User303,43,Male,Jakarta,Bandung,89.12,Healthy,Panera Bread,32,202,13
304,User304,18,Female,Surabaya,Bandung,64.19,Beverage,Burger King,35,415,15
305,User305,33,Male,Jakarta,Jakarta,41.75,Healthy,Chipotle,39,7,12
306,User306,34,Female,Surabaya,Bandung,73.71,Beverage,Chipotle,24,143,3
307,User307,60,Female,Jakarta,Surabaya,72.99,Beverage,Jack in the Box,51,447,4
308,User308,54,Male,Jakarta,Jakarta,77.67,Dessert,Sonic Drive-In,26,257,2
309,User309,25,Female,Bandung,Jakarta,81.65,Healthy,Chipotle,33,401,13
310,User310,41,Female,Jakarta,Bandung,44.85,Fast Food,Wendy's,36,330,17
311,User311,67,Female,Bandung,Bandung,34.42,Healthy,Taco Bell,58,167,13
312,User312,58,Male,Bandung,Surabaya,83.76,Fast Food,Burger King,59,11,15
313,User313,56,Female,Jakarta,Surabaya,39.28,Dessert,Pizza Hut,17,271,9
314,User314,63,Male,Surabaya,Surabaya,61.03,Dessert,Little Caesars,38,491,16
315,User315,55,Male,Jakarta,Bandung,10.29,Beverage,Five Guys,33,386,18
316,User316,67,Male,Jakarta,Bandung,24.97,Fast Food,Dunkin' Donuts,26,361,13
317,User317,55,Male,Jakarta,Surabaya,92.56,Dessert,Panda Express,31,74,8
318,User318,22,Male,Surabaya,Surabaya,5.52,Beverage,McDonald's,20,287,1
319,User319,52,Male,Jakarta,Jakarta,63.13,Healthy,McDonald's,24,207,1
